SchoolName,Latitude,Longitude,City,CommunitySchool,EconomicNeedIndex,SchoolIncomeEstimate,PercentELL,PercentAsian,PercentBlack,PercentHispanic,PercentBlackHispanic,PercentWhite,StudentAttendanceRate,PercentofStudentsChronicallyAbsent,RigorousInstruction,CollaborativeTeachers,SupportiveEnvironment,EffectiveSchoolLeadership,StrongFamilyCommunityTies,Trust,AverageELAProficiency,Grade3ELAAllStudentsTested,Grade3ELA4sAllStudents,Grade3ELA4sAmericanIndianorAlaskaNative,Grade3ELA4sBlackorAfricanAmerican,Grade3ELA4sHispanicorLatino,Grade3ELA4sAsianorPacificIslander,Grade3ELA4sWhite,Grade3ELA4sMultiracial,Grade3ELA4sLimitedEnglishProficient,Grade3ELA4sEconomicallyDisadvantaged,Grade3MathAllStudentstested,Grade3Math4sAllStudents,Grade3Math4sAmericanIndianorAlaskaNative,Grade3Math4sBlackorAfricanAmerican,Grade3Math4sHispanicorLatino,Grade3Math4sAsianorPacificIslander,Grade3Math4sWhite,Grade3Math4sMultiracial,Grade3Math4sLimitedEnglishProficient,Grade3Math4sEconomicallyDisadvantaged,Grade4ELAAllStudentsTested,Grade4ELA4sAllStudents,Grade4ELA4sAmericanIndianorAlaskaNative,Grade4ELA4sBlackorAfricanAmerican,Grade4ELA4sHispanicorLatino,Grade4ELA4sAsianorPacificIslander,Grade4ELA4sWhite,Grade4ELA4sMultiracial,Grade4ELA4sLimitedEnglishProficient,Grade4ELA4sEconomicallyDisadvantaged,Grade4MathAllStudentsTested,Grade4Math4sAllStudents,Grade4Math4sAmericanIndianorAlaskaNative,Grade4Math4sBlackorAfricanAmerican,Grade4Math4sHispanicorLatino,Grade4Math4sAsianorPacificIslander,Grade4Math4sWhite,Grade4Math4sMultiracial,Grade4Math4sLimitedEnglishProficient,Grade4Math4sEconomicallyDisadvantaged,Grade5ELAAllStudentsTested,Grade5ELA4sAllStudents,Grade5ELA4sAmericanIndianorAlaskaNative,Grade5ELA4sBlackorAfricanAmerican,Grade5ELA4sHispanicorLatino,Grade5ELA4sAsianorPacificIslander,Grade5ELA4sWhite,Grade5ELA4sMultiracial,Grade5ELA4sLimitedEnglishProficient,Grade5ELA4sEconomicallyDisadvantaged,Grade5MathAllStudentsTested,Grade5Math4sAllStudents,Grade5Math4sAmericanIndianorAlaskaNative,Grade5Math4sBlackorAfricanAmerican,Grade5Math4sHispanicorLatino,Grade5Math4sAsianorPacificIslander,Grade5Math4sWhite,Grade5Math4sMultiracial,Grade5Math4sLimitedEnglishProficient,Grade5Math4sEconomicallyDisadvantaged,Grade6ELAAllStudentsTested,Grade6ELA4sAllStudents,Grade6ELA4sAmericanIndianorAlaskaNative,Grade6ELA4sBlackorAfricanAmerican,Grade6ELA4sHispanicorLatino,Grade6ELA4sAsianorPacificIslander,Grade6ELA4sWhite,Grade6ELA4sMultiracial,Grade6ELA4sLimitedEnglishProficient,Grade6ELA4sEconomicallyDisadvantaged,Grade6MathAllStudentsTested,Grade6Math4sAllStudents,Grade6Math4sAmericanIndianorAlaskaNative,Grade6Math4sBlackorAfricanAmerican,Grade6Math4sHispanicorLatino,Grade6Math4sAsianorPacificIslander,Grade6Math4sWhite,Grade6Math4sMultiracial,Grade6Math4sLimitedEnglishProficient,Grade6Math4sEconomicallyDisadvantaged,Grade7ELAAllStudentsTested,Grade7ELA4sAllStudents,Grade7ELA4sAmericanIndianorAlaskaNative,Grade7ELA4sBlackorAfricanAmerican,Grade7ELA4sHispanicorLatino,Grade7ELA4sAsianorPacificIslander,Grade7ELA4sWhite,Grade7ELA4sMultiracial,Grade7ELA4sLimitedEnglishProficient,Grade7ELA4sEconomicallyDisadvantaged,Grade7MathAllStudentsTested,Grade7Math4sAllStudents,Grade7Math4sAmericanIndianorAlaskaNative,Grade7Math4sBlackorAfricanAmerican,Grade7Math4sHispanicorLatino,Grade7Math4sAsianorPacificIslander,Grade7Math4sWhite,Grade7Math4sMultiracial,Grade7Math4sLimitedEnglishProficient,Grade7Math4sEconomicallyDisadvantaged,Grade8ELAAllStudentsTested,Grade8ELA4sAllStudents,Grade8ELA4sAmericanIndianorAlaskaNative,Grade8ELA4sBlackorAfricanAmerican,Grade8ELA4sHispanicorLatino,Grade8ELA4sAsianorPacificIslander,Grade8ELA4sWhite,Grade8ELA4sMultiracial,Grade8ELA4sLimitedEnglishProficient,Grade8ELA4sEconomicallyDisadvantaged,Grade8MathAllStudentsTested,Grade8Math4sAllStudents,Grade8Math4sAmericanIndianorAlaskaNative,Grade8Math4sBlackorAfricanAmerican,Grade8Math4sHispanicorLatino,Grade8Math4sAsianorPacificIslander,Grade8Math4sWhite,Grade8Math4sMultiracial,Grade8Math4sLimitedEnglishProficient,Grade8Math4sEconomicallyDisadvantaged
P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,40.822539,-73.921487,BRONX,No,0.878,289.1855,0.13,0.02,0.27,0.69,0.96,0.01,0.9,0.39,0.86,0.86,0.85,0.79,0.81,0.89,2.09,55,1,0,0,1,0,0,0,0,0,57,2,0,0,1,0,0,0,0,0,61,2,0,1,1,0,0,0,0,0,60,6,0,0,6,0,0,0,0,0,54,2,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,70,2,0,0,2,0,0,0,0,2,72,0,0,0,0,0,0,0,0,0,79,2,0,0,1,0,0,0,0,1,78,1,0,0,0,0,0,0,0,1,85,2,0,0,1,0,0,0,0,2,70,0,0,0,0,0,0,0,0,0
P.S. 043 JONAS BRONCK,40.806419,-73.921424,BRONX,No,0.91,209.024,0.09,0,0.27,0.71,0.98,0.01,0.91,0.33,0.89,0.95,0.9,0.84,0.86,0.96,2.29,73,3,0,0,2,0,0,0,0,0,75,6,0,0,5,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,71,3,0,0,1,0,0,0,1,0,58,1,0,0,0,0,0,0,0,0,60,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 049 WILLIS AVENUE,40.810342,-73.922626,BRONX,No,0.924,223.9238,0.16,0,0.29,0.68,0.98,0.01,0.92,0.3,0.87,0.83,0.81,0.74,0.83,0.85,2.19,83,1,0,0,0,0,0,0,0,0,84,9,0,0,6,0,0,0,3,0,99,8,0,0,2,0,0,0,0,0,98,13,0,0,9,0,0,0,2,0,105,5,0,0,3,0,0,0,0,0,105,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 065 MOTHER HALE ACADEMY,40.807731,-73.912768,BRONX,No,0.957,225.0791,0.12,0.03,0.32,0.64,0.96,0.01,0.89,0.48,0.92,0.88,0.88,0.82,0.84,0.91,2.06,60,1,0,0,1,0,0,0,0,0,61,3,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,60,2,0,0,0,0,0,0,0,2,45,2,0,0,2,0,0,0,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 154 JONATHAN D. HYATT,40.808255,-73.925748,BRONX,Yes,0.912,189.8433,0.1,0,0.4,0.57,0.97,0.01,0.93,0.25,0.93,0.95,0.92,0.91,0.84,0.96,2.29,62,2,0,0,1,0,0,0,0,0,62,7,0,0,4,0,0,0,0,0,60,1,0,0,1,0,0,0,0,0,60,4,0,0,1,0,0,0,0,0,55,1,0,0,1,0,0,0,0,0,55,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 157 GROVE HILL,40.819262,-73.909065,BRONX,No,0.879,265.0827,0.09,0,0.3,0.69,0.99,0,0.9,0.41,0.92,0.91,0.93,0.8,0.82,0.92,2.32,93,2,0,0,2,0,0,0,0,0,93,3,0,0,3,0,0,0,1,0,87,0,0,0,0,0,0,0,0,0,87,6,0,0,2,0,0,0,0,0,100,2,0,0,2,0,0,0,0,2,103,6,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 161 JUAN PONCE DE LEON SCHOOL,40.814507,-73.905159,BRONX,No,0.906,251.5314,0.19,0.01,0.23,0.73,0.96,0.02,0.91,0.37,0.9,0.87,0.91,0.71,0.79,0.86,2.33,62,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,59,2,0,0,2,0,0,0,0,0,59,2,0,0,2,0,0,0,0,0,77,2,0,1,1,0,0,0,0,0,78,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 179,40.809216,-73.920032,BRONX,No,0.899,237.3732,0.3,0.01,0.15,0.83,0.98,0,0.92,0.33,0.94,0.92,0.9,0.83,0.85,0.96,2.31,57,0,0,0,0,0,0,0,0,0,57,4,0,0,3,0,0,0,0,4,51,3,0,0,2,0,0,0,0,0,52,4,0,0,4,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 277,40.813307,-73.913837,BRONX,No,0.928,226.4964,0.16,0,0.23,0.74,0.97,0.01,0.93,0.22,0.9,0.9,0.89,0.84,0.87,0.93,2.28,67,2,0,0,2,0,0,0,0,0,67,13,0,0,9,0,0,0,0,0,57,5,0,3,2,0,0,0,0,0,57,6,0,2,4,0,0,0,0,0,66,2,0,0,2,0,0,0,0,2,66,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOUNG LEADERS ELEMENTARY SCHOOL,40.809216,-73.920032,BRONX,No,0.923,230.207,0.47,0,0.18,0.81,0.99,0.01,0.92,0.3,0.75,0.86,0.83,0.81,0.88,0.9,1.97,36,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. X014 SENATOR JOHN CALANDRA,40.835535,-73.825861,BRONX,No,0.498,666.1965,0.05,0.04,0.06,0.65,0.71,0.24,0.93,0.22,0.94,0.96,0.98,0.91,0.84,0.97,2.61,88,6,0,0,4,0,2,0,0,0,90,12,0,0,6,0,5,0,0,6,95,10,0,0,6,0,4,0,0,5,96,8,0,0,6,0,2,0,0,4,102,12,0,0,4,0,5,0,0,4,104,9,0,0,5,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 036 UNIONPORT,40.829446,-73.849749,BRONX,No,0.779,399.3344,0.16,0.19,0.11,0.64,0.76,0.03,0.93,0.24,0.94,0.95,0.96,0.86,0.87,0.96,2.6,115,0,0,0,0,0,0,0,0,0,119,13,1,0,4,7,1,0,3,11,98,4,0,0,0,4,0,0,0,1,103,16,0,0,4,11,0,0,2,4,103,14,0,2,4,3,0,0,0,7,106,20,0,1,11,4,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 048 JOSEPH R. DRAKE,40.814228,-73.886889,BRONX,No,0.922,278.5991,0.18,0.01,0.26,0.71,0.97,0.01,0.92,0.31,0.88,0.84,0.86,0.68,0.77,0.84,2.1,103,0,0,0,0,0,0,0,0,0,108,4,0,0,3,0,0,0,0,4,117,3,0,0,3,0,0,0,0,2,122,5,0,0,3,0,0,0,1,5,93,2,0,0,2,0,0,0,0,2,95,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 062 INOCENSIO CASANOVA,40.813875,-73.90019,BRONX,No,0.896,238.3779,0.11,0,0.2,0.77,0.96,0.03,0.91,0.35,0.89,0.94,0.92,0.86,0.85,0.95,2.15,99,3,0,1,2,0,0,0,0,0,106,10,0,0,9,0,0,0,1,0,102,2,0,0,2,0,0,0,0,0,105,10,0,0,9,0,0,0,0,0,109,3,0,0,3,0,0,0,0,0,112,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 069 JOURNEY PREP SCHOOL,40.816837,-73.860541,BRONX,No,0.751,475.9842,0.08,0.02,0.16,0.8,0.96,0.01,0.93,0.22,0.94,0.86,0.92,0.79,0.81,0.88,2.72,79,9,0,0,8,0,0,0,0,9,80,23,0,0,18,0,0,0,0,20,83,10,0,0,10,0,0,0,1,0,82,19,0,0,19,0,0,0,0,0,89,3,0,1,2,0,0,0,0,0,92,11,0,2,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 071 ROSE E. SCALA,40.845595,-73.829638,BRONX,No,0.511,570.7808,0.07,0.07,0.04,0.62,0.66,0.26,0.93,0.22,0.93,0.93,0.86,0.91,0.79,0.93,2.66,180,8,0,1,5,1,1,0,0,2,189,21,0,1,12,3,5,0,1,10,194,23,0,0,10,7,3,0,0,18,202,42,0,0,16,11,13,0,3,31,187,26,0,0,12,6,6,0,0,15,185,23,0,0,9,9,5,0,1,12,181,29,0,0,19,4,6,0,0,19,178,65,0,0,37,13,12,0,0,45,189,20,0,1,12,0,5,0,0,14,180,22,0,0,14,0,1,0,0,18,165,28,0,0,15,0,9,0,0,16,160,34,0,0,17,0,11,0,0,23
P.S. 072 DR. WILLIAM DORNEY,40.823158,-73.818136,BRONX,No,0.761,466.4264,0.05,0.03,0.19,0.72,0.92,0.05,0.91,0.35,0.91,0.87,0.89,0.79,0.83,0.91,2.33,108,3,0,0,2,0,0,0,0,2,110,5,0,0,4,0,0,0,0,4,118,7,0,2,4,1,0,0,0,5,113,13,0,1,8,3,1,0,1,8,128,7,0,0,6,0,0,0,0,6,128,8,0,1,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,40.82229,-73.88896,BRONX,No,0.922,239.8716,0.13,0.01,0.26,0.71,0.97,0.01,0.91,0.36,0.93,0.92,0.91,0.83,0.8,0.93,2.24,92,1,0,0,0,0,0,0,0,1,93,10,0,0,7,0,0,0,0,8,89,7,0,0,5,0,0,0,0,6,90,6,0,1,4,0,0,0,0,6,85,2,0,0,2,0,0,0,0,2,87,4,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 093 ALBERT G. OLIVER,40.822513,-73.877255,BRONX,No,0.667,428.8501,0.09,0,0.57,0.4,0.97,0.02,0.93,0.28,0.96,0.95,0.95,0.87,0.93,0.96,2.26,49,4,0,3,0,0,0,0,0,3,52,3,0,3,0,0,0,0,0,1,41,4,0,4,0,0,0,0,0,3,42,3,0,3,0,0,0,0,0,3,59,0,0,0,0,0,0,0,0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 100 ISAAC CLASON,40.82191,-73.862615,BRONX,No,0.86,277.1067,0.05,0.01,0.33,0.64,0.97,0.01,0.92,0.31,0.94,0.95,0.91,0.91,0.82,0.95,2.32,90,0,0,0,0,0,0,0,0,0,91,1,0,0,1,0,0,0,0,1,88,2,0,0,1,0,0,0,0,2,87,2,0,0,2,0,0,0,0,0,99,4,0,1,2,0,0,0,0,4,100,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 107,40.818887,-73.868609,BRONX,No,0.913,278.5377,0.09,0.01,0.32,0.64,0.96,0.03,0.9,0.43,0.95,0.93,0.92,0.84,0.83,0.92,2.21,78,2,0,1,1,0,0,0,1,0,81,6,0,1,5,0,0,0,0,0,82,5,0,0,1,0,0,0,0,0,82,3,0,0,1,0,0,0,0,0,77,1,0,0,1,0,0,0,0,1,79,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE DR. EMMETT W. BASSETT SCHOOL,40.828493,-73.856571,BRONX,No,0.8,394.8531,0.25,0.31,0.09,0.51,0.6,0.07,0.94,0.21,0.84,0.89,0.92,0.83,0.86,0.94,2.41,164,3,0,0,1,2,0,0,0,1,170,16,2,0,3,11,0,0,2,9,150,24,0,1,13,9,0,0,0,15,158,33,0,0,12,19,0,0,0,22,161,16,0,0,4,11,0,0,0,14,171,17,0,0,4,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 130 ABRAM STEVENS HEWITT,40.817778,-73.901831,BRONX,No,0.872,249.7729,0.23,0.02,0.23,0.73,0.96,0.02,0.92,0.27,0.95,0.92,0.93,0.85,0.86,0.95,2.07,81,0,0,0,0,0,0,0,0,0,82,5,0,0,3,0,0,0,0,4,77,3,0,0,3,0,0,0,0,2,78,5,0,0,4,0,0,0,1,3,70,1,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 138 SAMUEL RANDALL,40.822374,-73.852831,BRONX,No,0.851,356.3581,0.04,0.02,0.26,0.7,0.95,0.01,0.89,0.42,0.94,0.97,0.92,0.86,0.81,0.95,2.32,132,0,0,0,0,0,0,0,0,0,132,9,0,0,3,0,0,0,0,6,143,12,0,1,10,0,0,0,0,10,143,11,0,1,10,0,0,0,0,10,101,2,0,0,1,0,0,0,0,2,99,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. X140 THE EAGLE SCHOOL,40.823374,-73.907378,BRONX,No,0.875,267.6323,0.11,0,0.35,0.61,0.96,0.02,0.9,0.4,0.88,0.82,0.87,0.76,0.84,0.88,2.16,85,0,0,0,0,0,0,0,0,0,83,3,0,0,3,0,0,0,0,3,94,5,0,2,3,0,0,0,0,4,95,4,0,1,3,0,0,0,1,3,100,2,0,0,1,0,0,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 146 EDWARD COLLINS,40.825125,-73.90592,BRONX,No,0.911,252.0354,0.13,0.01,0.42,0.55,0.97,0,0.91,0.36,0.95,0.9,0.92,0.82,0.83,0.89,2.25,39,1,0,1,0,0,0,0,0,1,42,4,0,2,2,0,0,0,0,4,43,0,0,0,0,0,0,0,0,0,45,2,0,0,1,0,0,0,0,2,41,2,0,0,2,0,0,0,0,0,42,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 152 EVERGREEN,40.823978,-73.880504,BRONX,No,0.913,282.5604,0.26,0.01,0.18,0.78,0.96,0.01,0.91,0.35,0.8,0.83,0.89,0.73,0.83,0.85,2.19,124,0,0,0,0,0,0,0,0,0,127,10,0,1,6,0,0,0,1,7,142,3,0,0,2,0,0,0,0,2,143,6,0,0,6,0,0,0,0,5,133,11,0,2,8,0,0,0,0,7,137,6,0,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 182,40.818892,-73.856982,BRONX,No,0.73,459.2494,0.04,0.08,0.28,0.62,0.9,0.02,0.92,0.32,0.85,0.75,0.82,0.59,0.8,0.82,2.59,167,10,0,1,4,0,0,0,0,8,169,24,0,3,10,0,0,0,0,19,150,32,0,12,8,9,0,0,0,24,153,42,0,13,12,14,0,0,0,31,158,7,0,1,3,0,0,0,0,7,159,16,0,2,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 304 EARLY CHILDHOOD SCHOOL,40.827214,-73.829212,BRONX,No,0.388,670.9868,0.01,0.07,0.05,0.59,0.64,0.27,0.95,0.13,0.9,0.94,0.96,0.86,0.9,0.98,2.94,90,15,0,0,9,2,4,0,0,8,91,18,0,0,11,3,3,0,0,11,74,25,0,0,14,0,8,0,0,20,74,21,0,0,12,0,6,0,0,15,83,22,0,2,6,0,12,0,0,12,83,22,0,1,7,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 333 - THE MUSEUM SCHOOL,40.820082,-73.898647,BRONX,No,0.915,264.4884,0.24,0,0.2,0.77,0.97,0.02,0.89,0.46,0.89,0.8,0.91,0.62,0.78,0.85,2.22,46,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,58,1,0,0,1,0,0,0,0,1,59,1,0,0,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE ACADEMY OF THE ARTS,40.820082,-73.898647,BRONX,No,0.891,258.7653,0.18,0.01,0.3,0.67,0.96,0.01,0.92,0.34,0.95,0.96,0.97,0.95,0.86,0.98,2.27,28,1,0,0,1,0,0,0,0,1,28,5,0,0,4,0,0,0,0,5,43,0,0,0,0,0,0,0,0,0,45,2,0,0,1,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,38,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S./M.S. 004 CROTONA PARK WEST,40.841242,-73.898492,BRONX,No,0.903,288.3061,0.12,0.01,0.53,0.45,0.98,0.01,0.88,0.44,0.85,0.77,0.89,0.68,0.8,0.86,2.28,69,1,0,1,0,0,0,0,0,0,70,10,0,4,0,0,0,0,1,0,55,3,0,0,1,0,0,0,0,0,56,6,0,0,3,0,0,0,1,0,61,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,51,1,0,1,0,0,0,0,0,0,53,5,0,3,2,0,0,0,0,0,41,3,0,2,1,0,0,0,0,0,43,11,0,7,4,0,0,0,1,0,54,5,0,2,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0
P.S. 011 HIGHBRIDGE,40.83973,-73.925913,BRONX,No,0.923,264.7548,0.25,0,0.3,0.69,0.99,0,0.92,0.33,0.95,0.94,0.92,0.83,0.84,0.93,2.31,110,1,0,0,1,0,0,0,0,0,110,8,0,0,8,0,0,0,6,0,109,7,0,0,4,0,0,0,0,0,111,7,0,0,5,0,0,0,0,0,121,4,0,0,4,0,0,0,0,0,123,6,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
